name,index,neighbors
N01,0,N02(1.9)
N02,1,N03(2)|N04(1.8)
N03,2,N04(1.9)|W09(1.5)
N04,3,N05(1.6)
N05,4,N06(0.9)|N07(1.8)
N06,5,
N07,6,N08(0.9)|N09(1.6)
N08,7,
N09,8,N10(1.1)
N10,9,N11(2)
N11,10,N12(2.6)
N12,11,E01(2.6)|E02(1.6)
E01,12,E02(1.3)
E02,13,E03(1.4)|E04(1.4)
E03,14,
E04,15,E05(1.4)|E06(2)|E07(1)
E05,16,E09(1.5)|E07(2.2)|E06(3.1)
E06,17,E07(2.2)
E07,18,E08(1)
E08,19,E10(2.8)|E11(3)|E12(2.2)|E13(2.7)
E09,20,E10(1.7)
E10,21,E11(3.3)|E12(2.7)|E13(2)
E11,22,E12(1.9)|E14(2.7)
E12,23,E13(2.4)|E14(2)|E15(1.7)
E13,24,E14(3)|E15(2.8)
E14,25,E15(2.2)|S01(2.1)
E15,26,S01(2.5)
S01,27,S02(1.4)|S03(1.7)|S04(1.3)
S02,28,S03(3.2)
S03,29,S04(3)
S04,30,S05(1.8)
S05,31,S06(0.8)|S07(1.6)
S06,32,S07(2.2)
S07,33,S08(1.4)
S08,34,S09(1.1)
S09,35,S10(1.5)|S11(1.1)
S10,36,S11(2.5)
S11,37,S12(1.7)
S12,38,S13(1.3)
S13,39,S14(1.5)
S14,40,S15(1.7)
S15,41,S16(2.3)|S17(1.5)|W01(0.8)
S16,42,S17(2.3)
S17,43,S18(1.6)
S18,44,
W01,45,W02(2.1)
W02,46,W03(1)
W03,47,W04(1.7)|W06(0.9)
W04,48,W05(1.7)
W05,49,
W06,50,W07(2.5)
W07,51,W08(1.8)
W08,52,W09(1.8)
W09,53,
