name,index,lecture_count,lecture_count_pop,lecture_count_pop_rescale,open_area_pop,total_area_pop,normalized_pop
N01,0,,0,1,2.66,1.83,0.4062134269
N02,1,1,0.6851339292,1.173913044,1,1.086956522,0.0425577189
N03,2,,0,1,3.16,2.08,0.5285668687
N04,3,1,0.6851339292,1.173913044,1,1.086956522,0.0425577189
N05,4,,0,1,2.57,1.785,0.3841898073
N06,5,2,1.370267858,1.347826087,1,1.173913044,0.08511543781
N07,6,,0,1,2.57,1.785,0.3841898073
N08,7,1,0.6851339292,1.173913044,1,1.086956522,0.0425577189
N09,8,8,5.481071434,2.391304348,2.57,2.480652174,0.7246515586
N10,9,,0,1,2.57,1.785,0.3841898073
N11,10,1,0.6851339292,1.173913044,1,1.086956522,0.0425577189
N12,11,1,0.6851339292,1.173913044,1,1.086956522,0.0425577189
E01,12,,0,1,1.63,1.315,0.1541653367
E02,13,,0,1,1,1,0
E03,14,,0,1,1,1,0
E04,15,,0,1,1,1,0
E05,16,,0,1,2.93,1.965,0.4722842855
E06,17,9,6.166205363,2.565217392,1,1.782608696,0.3830194701
E07,18,,0,1,3.65,2.325,0.6484732417
E08,19,,0,1,3.65,2.325,0.6484732417
E09,20,,0,1,2.93,1.965,0.4722842855
E10,21,,0,1,2.93,1.965,0.4722842855
E11,22,12,8.221607151,3.086956522,1,2.043478261,0.5106926268
E12,23,,0,1,3.65,2.325,0.6484732417
E13,24,,0,1,2.93,1.965,0.4722842855
E14,25,23,15.75808037,5.000000001,1,3,0.9788275348
E15,26,,0,1,2.65,1.825,0.403766358
S01,27,17,11.6472768,3.95652174,2.13,3.04326087,0.9999999999
S02,28,,0,1,2.13,1.565,0.2765187785
S03,29,2,1.370267858,1.347826087,1,1.173913044,0.08511543781
S04,30,,0,1,1,1,0
S05,31,,0,1,1,1,0
S06,32,,0,1,1,1,0
S07,33,4,2.740535717,1.695652174,1.94,1.817826087,0.4002553463
S08,34,,0,1,1,1,0
S09,35,,0,1,1,1,0
S10,36,,0,1,1,1,0
S11,37,5,3.425669646,1.869565218,1.62,1.744782609,0.3645068624
S12,38,,0,1,1.62,1.31,0.1517182679
S13,39,11,7.536473222,2.913043479,2.04,2.476521739,0.7226300669
S14,40,,0,1,1.62,1.31,0.1517182679
S15,41,8,5.481071434,2.391304348,1.75,2.070652174,0.523991914
S16,42,,0,1,1.88,1.44,0.2153420576
S17,43,8,5.481071434,2.391304348,1,1.695652174,0.3404617512
S18,44,6,4.110803575,2.043478261,1,1.521739131,0.2553463134
W01,45,,0,1,1.82,1.41,0.2006596446
W02,46,,0,1,1.81,1.405,0.1982125758
W03,47,,0,1,1.81,1.405,0.1982125758
W04,48,3,2.055401788,1.521739131,1.31,1.415869565,0.2035322906
W05,49,,0,1,1.31,1.155,0.07585913393
W06,50,,0,1,1.81,1.405,0.1982125758
W07,51,,0,1,3.16,2.08,0.5285668687
W08,52,,0,1,3.16,2.08,0.5285668687
W09,53,,0,1,3.16,2.08,0.5285668687
